error_rank,match_id,team_id,minute,event_type,killer,victim,assists,killer_relation,victim_relation,assist_relations,ally_support_involved,ally_adc_involved,ally_support_died,ally_adc_died,ally_support_assist,ally_adc_assist,x,y,nearest_frame_minute,support_zone_v5_abs,adc_zone_v5_abs,dist_to_adc,out_bot_context_v5,far_from_adc_v5
3,EUW1_7708715292,200,8.144916666666667,CHAMPION_KILL,"Yasuo(MIDDLE,T200,pid8)","Qiyana(MIDDLE,T100,pid3)",,ally_middle,enemy_middle,,False,False,False,False,False,False,5867,6873,8.004383333333333,RED_BASE,BOT_LANE_CORE,8738.865658653875,False,False
3,EUW1_7708715292,200,8.161616666666667,CHAMPION_KILL,"Qiyana(MIDDLE,T100,pid3)","Yasuo(MIDDLE,T200,pid8)",,enemy_middle,ally_middle,,False,False,False,False,False,False,6460,7024,8.004383333333333,RED_BASE,BOT_LANE_CORE,8738.865658653875,False,False
3,EUW1_7708715292,200,8.79305,CHAMPION_KILL,"Nidalee(JUNGLE,T100,pid2)","Senna(UTILITY,T200,pid10)","Qiyana(MIDDLE,T100,pid3); Blitzcrank(UTILITY,T100,pid5)",enemy_jungle,ally_support,enemy_middle; enemy_utility,True,False,True,False,False,False,6756,7361,9.004566666666667,MID_LANE,BOT_LANE_CORE,7682.627740558564,False,False
3,EUW1_7708715292,200,8.980933333333333,CHAMPION_KILL,"Teemo(TOP,T200,pid6)","Swain(TOP,T100,pid1)",,ally_top,enemy_top,,False,False,False,False,False,False,3340,12350,9.004566666666667,MID_LANE,BOT_LANE_CORE,7682.627740558564,False,False
3,EUW1_7708715292,200,10.134316666666667,CHAMPION_KILL,"Teemo(TOP,T200,pid6)","Qiyana(MIDDLE,T100,pid3)","Diana(JUNGLE,T200,pid7); Yasuo(MIDDLE,T200,pid8); Senna(UTILITY,T200,pid10)",ally_top,enemy_middle,ally_jungle; ally_middle; ally_support,True,False,False,False,True,False,3477,11262,10.005016666666666,TOP_SIDE_NEAR,BOT_LANE_CORE,11685.627283120064,True,True
3,EUW1_7708715292,200,11.357433333333333,CHAMPION_KILL,"Nidalee(JUNGLE,T100,pid2)","Diana(JUNGLE,T200,pid7)","Qiyana(MIDDLE,T100,pid3); Tristana(BOTTOM,T100,pid4); Blitzcrank(UTILITY,T100,pid5)",enemy_jungle,ally_jungle,enemy_middle; enemy_bottom; enemy_utility,False,False,False,False,False,False,7531,7327,11.005483333333334,MID_LANE,BOT_LANE_CORE,6292.21693840891,True,True
3,EUW1_7708715292,200,11.3934,CHAMPION_KILL,"Qiyana(MIDDLE,T100,pid3)","Yasuo(MIDDLE,T200,pid8)","Nidalee(JUNGLE,T100,pid2); Tristana(BOTTOM,T100,pid4); Blitzcrank(UTILITY,T100,pid5)",enemy_middle,ally_middle,enemy_jungle; enemy_bottom; enemy_utility,False,False,False,False,False,False,7187,7449,11.005483333333334,MID_LANE,BOT_LANE_CORE,6292.21693840891,True,True
3,EUW1_7708715292,200,11.447966666666666,CHAMPION_KILL,"Nidalee(JUNGLE,T100,pid2)","Senna(UTILITY,T200,pid10)","Qiyana(MIDDLE,T100,pid3); Tristana(BOTTOM,T100,pid4)",enemy_jungle,ally_support,enemy_middle; enemy_bottom,True,False,True,False,False,False,7909,8112,11.005483333333334,MID_LANE,BOT_LANE_CORE,6292.21693840891,True,True
4,EUW1_7783266689,200,1.8814833333333334,CHAMPION_KILL,"Twitch(BOTTOM,T100,pid4)","Ashe(BOTTOM,T200,pid9)","Lulu(UTILITY,T100,pid5)",enemy_bottom,ally_adc,enemy_utility,False,True,False,True,False,False,13468,2886,5.0006,RED_TOP_JUNGLE,RED_BASE,5978.234689270738,True,False
4,EUW1_7783266689,200,2.0029,CHAMPION_KILL,"Nidalee(JUNGLE,T200,pid7)","Twitch(BOTTOM,T100,pid4)","Ashe(BOTTOM,T200,pid9); Senna(UTILITY,T200,pid10)",ally_jungle,enemy_bottom,ally_adc; ally_support,True,True,False,False,True,True,12328,2756,5.0006,RED_TOP_JUNGLE,RED_BASE,5978.234689270738,True,False
