model,target,mse,rmse,mae,r2,pearson_corr,spearman_corr,pred_std,target_std,compression_ratio,n_train,n_eval,eval_split,training_seconds,best_epoch,hidden_dims,dropout,lr,weight_decay,run_id,outdir,wall_seconds
mlp_per_role_raw,raw,0.030624933540821075,0.17499981011652863,0.1407809853553772,0.1498971403625522,0.388499159565155,0.37415193247904793,0.07867094874382019,0.18980245292186737,0.4144885776381682,268322,57314,val,135.58094763755798,12,"[128, 64]",0.3,0.001,0.001,012_h128-64_d0p3_lr1em03_wd1em03,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\012_h128-64_d0p3_lr1em03_wd1em03,136.1171727180481
mlp_per_role_raw,raw,0.030627872794866562,0.17500820779285342,0.14078204333782196,0.14981555265150603,0.388509706247558,0.3741293550591981,0.07880914211273193,0.18980245292186737,0.41521666817011005,268322,57314,val,135.65650486946106,12,"[128, 64]",0.3,0.001,0.0005,011_h128-64_d0p3_lr1em03_wd5em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\011_h128-64_d0p3_lr1em03_wd5em04,136.19185638427734
mlp_per_role_raw,raw,0.030696382746100426,0.17520383199605088,0.14103646576404572,0.14791379040424468,0.38670238152007863,0.3732567126225219,0.07396294921636581,0.18980245292186737,0.3896838427415521,268322,57314,val,307.9527819156647,18,"[256, 128, 64]",0.4,0.0005,0.0001,103_h256-128-64_d0p4_lr5em04_wd1em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\103_h256-128-64_d0p4_lr5em04_wd1em04,308.7479088306427
mlp_per_role_raw,raw,0.030726343393325806,0.17528931340308743,0.14086110889911652,0.14708212784534191,0.3869452174526623,0.3732226580483887,0.08195123076438904,0.18980245292186737,0.4317711889536246,268322,57314,val,200.55322790145874,16,"[256, 128]",0.4,0.0005,0.0005,077_h256-128_d0p4_lr5em04_wd5em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\077_h256-128_d0p4_lr5em04_wd5em04,201.1654930114746
mlp_per_role_raw,raw,0.030724523589015007,0.17528412246696792,0.14087188243865967,0.14713267675327257,0.3868524334979301,0.3731202371205043,0.0813848227262497,0.18980245292186737,0.42878699128167724,268322,57314,val,203.0566143989563,16,"[256, 128]",0.4,0.0005,0.0001,076_h256-128_d0p4_lr5em04_wd1em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\076_h256-128_d0p4_lr5em04_wd1em04,203.64346742630005
mlp_per_role_raw,raw,0.03064821846783161,0.17506632591058627,0.14098308980464935,0.1492507646778657,0.38678749753988784,0.3730532899797933,0.07488328218460083,0.18980245292186737,0.3945327419737126,268322,57314,val,237.32376194000244,32,"[128, 64]",0.4,0.0002,0.0001,025_h128-64_d0p4_lr2em04_wd1em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\025_h128-64_d0p4_lr2em04_wd1em04,237.85446500778198
mlp_per_role_raw,raw,0.030626866966485977,0.17500533410866645,0.14098089933395386,0.14984345801354493,0.3872782730874935,0.37303578553756556,0.07549593597650528,0.18980245292186737,0.3977605916799366,268322,57314,val,140.76648235321045,17,"[192, 96]",0.4,0.0005,0.0005,050_h192-96_d0p4_lr5em04_wd5em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\050_h192-96_d0p4_lr5em04_wd5em04,141.2109878063202
mlp_per_role_raw,raw,0.030648039653897285,0.1750658152064454,0.1409779042005539,0.14925573088636412,0.3868040537878975,0.37302900330332495,0.07508474588394165,0.18980245292186737,0.3955941808341669,268322,57314,val,232.71367239952087,32,"[128, 64]",0.4,0.0002,0.001,027_h128-64_d0p4_lr2em04_wd1em03,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\027_h128-64_d0p4_lr2em04_wd1em03,233.14083099365234
mlp_per_role_raw,raw,0.03070404753088951,0.17522570453814562,0.14106160402297974,0.14770107114022724,0.3863408568523429,0.3729711432529036,0.07355481386184692,0.18980245292186737,0.38753352619803044,268322,57314,val,284.13175892829895,18,"[256, 128, 64]",0.4,0.0005,0.0005,104_h256-128-64_d0p4_lr5em04_wd5em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\104_h256-128-64_d0p4_lr5em04_wd5em04,284.93975853919983
mlp_per_role_raw,raw,0.030652564018964767,0.1750787366271666,0.14099490642547607,0.14913015675718877,0.38664920755271764,0.3728591875816866,0.07495200634002686,0.18980245292186737,0.39489482451989716,268322,57314,val,238.69164967536926,32,"[128, 64]",0.4,0.0002,0.0005,026_h128-64_d0p4_lr2em04_wd5em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\026_h128-64_d0p4_lr2em04_wd5em04,239.2211446762085
