support_champion_name,games,mean,median,std,q25,q75
Swain,1274,0.3265352773337573,0.3127759180095846,0.17042139314362661,0.20214803011332988,0.4377196172529216
Orianna,155,0.32504344878285363,0.3117057502943411,0.18009843160192904,0.17660112800230993,0.4586058484975605
Jinx,2,0.32342795621746245,0.32342795621746245,0.14430029276047596,0.27241009844839414,0.37444581398653076
Soraka,7211,0.322337698829907,0.3098745621235482,0.17554234358548848,0.19199823851956965,0.4425466434124107
Taric,4608,0.3223018566844765,0.30940909593927335,0.18471521217657552,0.18376711632524811,0.4417499261700965
Lulu,22250,0.3220609947644693,0.31121927986031117,0.17658403990262442,0.18959919086762952,0.438876809530924
Heimerdinger,204,0.3220403712031696,0.3092800493244915,0.17452286281348206,0.20459028863507783,0.42476638299016806
Jhin,26,0.3208265762069254,0.336169491500399,0.17785635285507925,0.1942882162521436,0.44437875087224166
Malphite,121,0.319863273756099,0.3215480446097493,0.1591752536671342,0.19941067527812556,0.4361755594337899
Hwei,481,0.3161285815153788,0.29906975624424414,0.17198025356221874,0.17554318910746333,0.43503901416503993
Ziggs,33,0.31528795228090417,0.2934207152619047,0.15427754476302658,0.1915721404382136,0.4427976760347218
Kindred,36,0.31416723662162244,0.2552397384663777,0.1914045979104004,0.20168035032454965,0.4153119871410356
Seraphine,7739,0.31412041245586053,0.30258007354974636,0.17292968653561197,0.1842326143697528,0.43340724073926795
Yasuo,15,0.3134691264389877,0.23034898483529642,0.22634643379413658,0.14306659826578388,0.4674384679688341
Senna,10154,0.3087440928364943,0.2905090843185016,0.1817103697513977,0.1747108881893547,0.42704453284918603
Kalista,14,0.3080054296111366,0.34549367268550024,0.17026120357477156,0.20647499135636596,0.4224738703604619
Zyra,1605,0.30587259064348576,0.28967428420218083,0.16789730918412515,0.1816810510339597,0.421614431276092
MissFortune,49,0.29621967982955266,0.2776692609484769,0.17193785663136552,0.16467894966929678,0.40104429253378626
Xerath,864,0.29398963908165204,0.28527842634405043,0.1576722929064039,0.1813030626111975,0.39186298276072923
Milio,7935,0.2924578179495655,0.27831132335994774,0.1714239516727419,0.16166328205458264,0.40432453540091484
