matchId,teamId,win,patch,window_early,window_mid,is_neutral_early,gold_diff_14,tower_diff_14,OBS_TEAM_FOCUS_EARLY,OBS_JG_STYLE_EARLY,OBS_MAP_MODE_MID,X_BOTTOM_Champ,X_JUNGLE_Champ,X_MIDDLE_Champ,X_TOP_Champ,X_UTILITY_Champ
7696144949,200,1,16.2,0-14,14-25,1,-372,-1,NEUTRAL,FARM_HEAVY,GROUP,523,203,134,897,89
7696146286,100,0,16.2,0-14,14-25,1,2857,1,NEUTRAL,MIXED,SPLIT,360,131,41,84,111
7696146286,200,1,16.2,0-14,14-25,1,2857,1,BOT,FARM_HEAVY,GROUP,145,35,80,79,555
7696147392,100,1,16.2,0-14,14-25,1,1366,1,BOT,MIXED,,29,120,157,24,43
7696147392,200,0,16.2,0-14,14-25,1,1366,1,NEUTRAL,MIXED,,42,11,91,13,267
7696149543,100,0,16.2,0-14,14-25,1,-2125,0,NEUTRAL,FARM_HEAVY,,110,245,112,58,201
7696149543,200,1,16.2,0-14,14-25,1,-2125,0,NEUTRAL,FARM_HEAVY,,119,234,7,27,267
7696149940,100,1,16.2,0-14,14-25,1,1893,-1,NEUTRAL,GANK_HEAVY,SPLIT,901,163,84,36,98
7696149940,200,0,16.2,0-14,14-25,1,1893,-1,BOT,MIXED,GROUP,110,20,13,31,143
7696150635,100,0,16.2,0-14,14-25,1,-3242,-1,BOT,MIXED,GROUP,22,245,67,142,201
7696150635,200,1,16.2,0-14,14-25,1,-3242,-1,TOP,MIXED,GROUP,51,421,7,893,412
7696150890,100,1,16.2,0-14,14-25,1,329,0,NEUTRAL,FARM_HEAVY,GROUP,15,30,238,67,34
7696150890,200,0,16.2,0-14,14-25,1,329,0,NEUTRAL,MIXED,SPLIT,145,92,154,41,497
7696151218,100,1,16.2,0-14,14-25,1,-50,0,NEUTRAL,FARM_HEAVY,GROUP,804,120,245,516,902
7696151218,200,0,16.2,0-14,14-25,1,-50,0,TOP,MIXED,SPLIT,51,427,31,39,60
7696152064,100,1,16.2,0-14,14-25,1,99,0,NEUTRAL,FARM_HEAVY,GROUP,222,245,157,14,412
7696152064,200,0,16.2,0-14,14-25,1,99,0,NEUTRAL,MIXED,GROUP,18,234,13,31,37
7696152161,100,0,16.2,0-14,14-25,1,-2006,0,NEUTRAL,MIXED,,51,121,893,157,40
7696152161,200,1,16.2,0-14,14-25,1,-2006,0,NEUTRAL,FARM_HEAVY,,81,33,800,799,432
7696153949,100,0,16.2,0-14,14-25,1,-676,0,BOT,FARM_HEAVY,GROUP,523,64,127,58,37
7696153949,200,1,16.2,0-14,14-25,1,-676,0,NEUTRAL,FARM_HEAVY,GROUP,42,163,13,110,267
7696154221,100,1,16.2,0-14,14-25,1,457,0,BOT,FARM_HEAVY,GROUP,114,799,61,516,43
7696154221,200,0,16.2,0-14,14-25,1,457,0,BOT,FARM_HEAVY,GROUP,804,246,69,92,78
7696154433,100,1,16.2,0-14,14-25,1,3038,0,TOP,MIXED,GROUP,15,131,61,897,107
7696154433,200,0,16.2,0-14,14-25,1,3038,0,TOP,FARM_HEAVY,GROUP,110,266,13,67,43
7696154811,100,0,16.2,0-14,14-25,1,1078,1,NEUTRAL,FARM_HEAVY,,15,421,245,114,117
7696154811,200,1,16.2,0-14,14-25,1,1078,1,BOT,GANK_HEAVY,,895,234,61,150,904
7696158531,100,1,16.2,0-14,14-25,1,1888,0,NEUTRAL,MIXED,GROUP,81,59,103,245,60
7696158531,200,0,16.2,0-14,14-25,1,1888,0,NEUTRAL,GANK_HEAVY,GROUP,29,9,777,14,497
7696159265,100,0,16.2,0-14,14-25,1,-2850,-1,TOP,GANK_HEAVY,GROUP,222,107,142,92,43
7696159265,200,1,16.2,0-14,14-25,1,-2850,-1,BOT,MIXED,GROUP,202,234,134,114,74
7696160489,100,1,16.2,0-14,14-25,1,3132,2,BOT,FARM_HEAVY,SPLIT,202,121,103,24,161
7696160489,200,0,16.2,0-14,14-25,1,3132,2,NEUTRAL,MIXED,GROUP,110,131,41,68,40
7696160685,100,1,16.2,0-14,14-25,1,2439,1,BOT,FARM_HEAVY,GROUP,804,245,13,78,111
7696160685,200,0,16.2,0-14,14-25,1,2439,1,NEUTRAL,MIXED,GROUP,42,234,777,134,412
7696160982,100,0,16.2,0-14,14-25,1,-2006,1,NEUTRAL,MIXED,,18,163,126,77,53
7696160982,200,1,16.2,0-14,14-25,1,-2006,1,NEUTRAL,FARM_HEAVY,,145,233,166,34,902
7696161903,100,1,16.2,0-14,14-25,1,3789,0,NEUTRAL,MIXED,GROUP,145,5,134,68,555
7696161903,200,0,16.2,0-14,14-25,1,3789,0,NEUTRAL,FARM_HEAVY,GROUP,50,799,13,2,89
7696162601,100,0,16.2,0-14,14-25,1,2003,2,BOT,MIXED,GROUP,115,64,950,19,267
7696162601,200,1,16.2,0-14,14-25,1,2003,2,NEUTRAL,FARM_HEAVY,GROUP,901,234,50,67,78
7696163180,100,0,16.2,0-14,14-25,1,-144,1,BOT,MIXED,SPLIT,147,234,517,41,29
7696163180,200,1,16.2,0-14,14-25,1,-144,1,TOP,MIXED,SPLIT,804,64,84,8,40
7696163469,100,0,16.2,0-14,14-25,1,-1467,-1,TOP,MIXED,SPLIT,81,11,238,432,89
7696163469,200,1,16.2,0-14,14-25,1,-1467,-1,BOT,MIXED,GROUP,42,30,99,887,412
7696166812,100,1,16.2,0-14,14-25,1,1671,0,NEUTRAL,MIXED,GROUP,804,36,103,126,117
7696166812,200,0,16.2,0-14,14-25,1,1671,0,TOP,FARM_HEAVY,GROUP,51,121,84,67,432
7696167606,100,0,16.2,0-14,14-25,1,-3887,-1,NEUTRAL,FARM_HEAVY,,51,120,13,897,518
7696167606,200,1,16.2,0-14,14-25,1,-3887,-1,NEUTRAL,MIXED,,15,266,517,126,9
7696167804,100,1,16.2,0-14,14-25,1,1085,0,TOP,MIXED,SPLIT,15,131,799,893,53
7696167804,200,0,16.2,0-14,14-25,1,1085,0,NEUTRAL,FARM_HEAVY,SPLIT,910,35,61,58,267
7696168607,100,0,16.2,0-14,14-25,1,-1408,0,TOP,MIXED,,110,154,61,897,111
7696168607,200,1,16.2,0-14,14-25,1,-1408,0,NEUTRAL,FARM_HEAVY,,143,91,268,150,432
7696169146,100,0,16.2,0-14,14-25,1,744,0,NEUTRAL,MIXED,SPLIT,804,35,161,950,111
7696169146,200,1,16.2,0-14,14-25,1,744,0,TOP,MIXED,GROUP,901,266,134,54,201
7696169869,100,1,16.2,0-14,14-25,1,312,-2,NEUTRAL,GANK_HEAVY,GROUP,42,28,157,897,201
7696169869,200,0,16.2,0-14,14-25,1,312,-2,NEUTRAL,FARM_HEAVY,GROUP,15,163,39,106,497
7696170010,100,1,16.2,0-14,14-25,1,513,0,BOT,MIXED,GROUP,236,141,103,13,37
7696170010,200,0,16.2,0-14,14-25,1,513,0,TOP,MIXED,SPLIT,202,121,134,31,80
7696172609,100,0,16.2,0-14,14-25,1,-403,0,NEUTRAL,FARM_HEAVY,,523,799,112,114,412
7696172609,200,1,16.2,0-14,14-25,1,-403,0,NEUTRAL,MIXED,,236,35,29,14,902
7696172823,100,0,16.2,0-14,14-25,1,-1833,0,NEUTRAL,FARM_HEAVY,,221,28,157,54,143
7696172823,200,1,16.2,0-14,14-25,1,-1833,0,BOT,MIXED,,67,145,84,59,902
7696173245,100,0,16.2,0-14,14-25,1,-1409,-1,NEUTRAL,FARM_HEAVY,GROUP,81,64,99,126,26
7696173245,200,1,16.2,0-14,14-25,1,-1409,-1,NEUTRAL,FARM_HEAVY,GROUP,18,203,45,54,12
7696173442,100,1,16.2,0-14,14-25,1,-2357,0,BOT,FARM_HEAVY,,202,60,112,240,12
7696173442,200,0,16.2,0-14,14-25,1,-2357,0,NEUTRAL,MIXED,,895,59,31,39,904
7696173854,100,1,16.2,0-14,14-25,1,353,0,TOP,MIXED,GROUP,222,799,800,68,37
7696173854,200,0,16.2,0-14,14-25,1,353,0,TOP,MIXED,GROUP,523,5,112,58,111
7696174019,100,1,16.2,0-14,14-25,1,-534,0,BOT,FARM_HEAVY,GROUP,115,91,157,58,3
7696174019,200,0,16.2,0-14,14-25,1,-534,0,BOT,MIXED,GROUP,81,11,131,24,76
7696174525,100,0,16.2,0-14,14-25,1,-1647,-1,NEUTRAL,GANK_HEAVY,GROUP,51,20,246,110,111
