model,trained_target,decile,n,pred_mean,true_mean,true_std,abs_error_mean,true_q25,true_q75
HistGBT (quantile->raw),quantile,4,5747,0.3605458111347789,0.3573817907613994,0.17543239209214337,0.14207519940086352,0.2286189747182843,0.47658782161537194
HistGBT (quantile->raw),quantile,4,5747,0.3604892849490834,0.3605079879844175,0.17806457695663355,0.14355628778908627,0.22913126440881204,0.4812710494684638
HistGBT (quantile->raw),quantile,4,5747,0.36026623169437183,0.35796463926584304,0.17831623195945012,0.14364346576042947,0.22716810008296703,0.4776783226753427
HistGBT (quantile->raw),quantile,5,5747,0.37577493028273884,0.3788122765596411,0.17472712586033426,0.14122981647226837,0.2529733099003041,0.49676813541835496
HistGBT (quantile->raw),quantile,5,5747,0.37540418431284617,0.3778653428361796,0.1744842028171488,0.1414071525789543,0.25167189775377885,0.4967550861919243
HistGBT (quantile->raw),quantile,5,5747,0.37570588200853705,0.3829961881718701,0.17294254210126633,0.140668386875598,0.2583350393150665,0.5029733718731741
HistGBT (quantile->raw),quantile,6,5747,0.39052082675321287,0.39833463580841943,0.1787560794303437,0.1446375914322972,0.27265264588430704,0.5182923809345104
HistGBT (quantile->raw),quantile,6,5747,0.3901535772116404,0.39759764801745046,0.17683821782407802,0.14274931201560087,0.2734631222613758,0.5170542027481706
HistGBT (quantile->raw),quantile,6,5747,0.39040556505042795,0.39374013608042746,0.17942002251682942,0.14491327751020966,0.2685623164831492,0.5163866052547519
HistGBT (quantile->raw),quantile,7,5747,0.40602415834474115,0.4170061430402655,0.17628662098013054,0.1425355768015492,0.29393944508529457,0.5394869346054356
HistGBT (quantile->raw),quantile,7,5747,0.4059933500322834,0.4181974025678428,0.17699664486504427,0.14351883421904746,0.2944483574073027,0.5424922658537963
HistGBT (quantile->raw),quantile,7,5747,0.4062777054871429,0.4201174020101599,0.17555181709001574,0.1422657466764863,0.2962878207170831,0.5416279579976074
HistGBT (quantile->raw),quantile,8,5747,0.4253961321522725,0.4468675716879851,0.17543383945352123,0.14239610959226812,0.32556845851644145,0.5666418559346491
HistGBT (quantile->raw),quantile,8,5747,0.42540166685572467,0.44695894360656857,0.17453556938636547,0.14160106004559583,0.3259476807579162,0.5653744931381945
HistGBT (quantile->raw),quantile,8,5747,0.4256585522155768,0.4440616219044441,0.17500695296260377,0.14162047085196933,0.3234527241529084,0.5646002061037012
HistGBT (quantile->raw),quantile,9,5746,0.4496223335500018,0.4718236855338077,0.1757055268611553,0.14245046543458836,0.3540927627945199,0.5903781114483034
HistGBT (quantile->raw),quantile,9,5746,0.4496059227336674,0.4683371663591537,0.17603695878316697,0.1428046638952018,0.3497205350720143,0.588901418655406
HistGBT (quantile->raw),quantile,9,5746,0.4495644570684112,0.4723545758516271,0.17594761011769777,0.14308869355342518,0.35274188883096774,0.5916167980896684
HistGBT (quantile->raw),quantile,10,5746,0.4889935776882879,0.5267952062979275,0.17825089672631056,0.1455176158576919,0.4074533035639709,0.6516829157566083
HistGBT (quantile->raw),quantile,10,5746,0.4882259500641436,0.5298394074627557,0.17726048301956754,0.14552456778163644,0.4125320031112667,0.6531241611427947
HistGBT (quantile->raw),quantile,10,5746,0.4887232162854376,0.5276160118733986,0.1778894852426044,0.14534100378143755,0.40900081104895014,0.651035394705352
HistGBT + Archetypes,raw,1,5747,0.2736425117294438,0.2627193777883126,0.1714225722663506,0.133471774268047,0.1337285488382184,0.37422784923828156
HistGBT + Archetypes,raw,2,5747,0.31895206178461044,0.31466257691357397,0.1725068690557641,0.1393396472038571,0.18737360927489904,0.42741531517617637
HistGBT + Archetypes,raw,3,5747,0.3407680592685192,0.338817615276371,0.1759216672311899,0.14245909275481855,0.20721369448515395,0.45508622046789815
HistGBT + Archetypes,raw,4,5747,0.3608095997333039,0.35804203280478786,0.17757732984044888,0.1428242788798133,0.22933400943299104,0.477603945428544
HistGBT + Archetypes,raw,5,5747,0.37984202788027716,0.38181390789098507,0.17504434794223792,0.14210332031934197,0.2548539578280029,0.5034375670104969
HistGBT + Archetypes,raw,6,5747,0.398045187965836,0.3982245031012615,0.17672647662339397,0.14284644737066504,0.2736028753186458,0.5220848569477642
HistGBT + Archetypes,raw,7,5747,0.4176125174879857,0.41721203594867123,0.176876863951012,0.14283533897094286,0.2905421680971676,0.5379396338323563
HistGBT + Archetypes,raw,8,5747,0.4417142257299885,0.4437857329352787,0.1756033130823092,0.1415412284391469,0.3236212408663392,0.5654481157047241
HistGBT + Archetypes,raw,9,5746,0.4726712083370721,0.4713026405068905,0.17524871914570142,0.14046474790035868,0.35380611443954485,0.5893333815326967
HistGBT + Archetypes,raw,10,5746,0.5229108595987131,0.5288498869710891,0.17758212056587164,0.14104883706444993,0.40930127249623244,0.6525660351499325
HistGBT + Archetypes (quantile->raw),quantile,1,5747,0.291111843218707,0.26294618279144144,0.17228616161808827,0.13792029352926863,0.13315610788138837,0.37486206537614347
