support_champion_name,rows,v5_mean,v8_mean,productive_event_mean,alive_outside_mean,no_productive_share
Yuumi,4689,0.14909535543748414,0.1583034718375162,0.14387573754176441,0.07233012420152535,0.7344849648112604
KogMaw,40,0.2341170984505152,0.15621391760241943,0.11083333333333334,0.09770833333333333,0.8
Riven,13,0.4004027168924455,0.14923861183362763,0.05128205128205128,0.11767399267399267,0.8461538461538461
Olaf,3,0.1853131193710699,0.14686205700937346,0.1111111111111111,0.041666666666666664,0.6666666666666666
Vladimir,10,0.24692354246974962,0.14686164053293188,0.09999999999999999,0.0875,0.8
Yasuo,15,0.3134691264389877,0.13791546299096707,0.06666666666666667,0.08412698412698412,0.8
Kassadin,4,0.267092381533136,0.13367803475084172,0.08333333333333333,0.0,0.75
Jinx,2,0.32342795621746245,0.1331626863435548,0.0,0.25,1.0
Kaisa,2,0.20813857317837425,0.07841173893283059,0.0,0.08333333333333333,1.0
Irelia,1,0.17062650472830274,0.05654359895450639,0.0,0.0,1.0
Aphelios,2,0.28460572207350504,0.04884760200134673,0.0,0.0,1.0
Yone,1,0.11508769516313615,0.034419248939151006,0.0,0.0,1.0
Xayah,1,0.2133679840847968,0.03245263937962668,0.0,0.0,1.0
