neighbor_scope,support_champion_id,support_name,support_archetype,neighbor_rank,neighbor_champion_id,neighbor_name,neighbor_support_archetype,neighbor_primary_class,neighbor_is_support,cosine_distance,cosine_similarity,same_support_archetype,same_primary_class
all_champions_exploratory,111,Nautilus,engage_tank,5,25,Morgana,catcher,Mage,True,0.5025214552879333,0.49747854471206665,False,False
all_champions_exploratory,117,Lulu,enchanter,1,62,Wukong,,Fighter,False,0.3918352723121643,0.6081647276878357,False,False
all_champions_exploratory,117,Lulu,enchanter,2,429,Kalista,,Marksman,False,0.4210670590400696,0.5789329409599304,False,False
all_champions_exploratory,117,Lulu,enchanter,3,86,Garen,,Fighter,False,0.43684983253479004,0.56315016746521,False,False
all_champions_exploratory,117,Lulu,enchanter,4,59,Jarvan IV,,Tank,False,0.4560486674308777,0.5439513325691223,False,False
all_champions_exploratory,117,Lulu,enchanter,5,37,Sona,enchanter,Support,True,0.4688987135887146,0.5311012864112854,True,True
all_champions_exploratory,143,Zyra,mage_support,1,113,Sejuani,,Tank,False,0.3483235836029053,0.6516764163970947,False,False
all_champions_exploratory,143,Zyra,mage_support,2,221,Zeri,,Marksman,False,0.47151392698287964,0.5284860730171204,False,False
all_champions_exploratory,143,Zyra,mage_support,3,81,Ezreal,,Marksman,False,0.4727433919906616,0.5272566080093384,False,False
all_champions_exploratory,143,Zyra,mage_support,4,254,Vi,,Fighter,False,0.48794740438461304,0.512052595615387,False,False
all_champions_exploratory,143,Zyra,mage_support,5,350,Yuumi,enchanter,Support,True,0.5636796355247498,0.43632036447525024,False,False
all_champions_exploratory,147,Seraphine,enchanter,1,90,Malzahar,,Mage,False,0.4189276099205017,0.5810723900794983,False,True
all_champions_exploratory,147,Seraphine,enchanter,2,48,Trundle,,Fighter,False,0.5361082553863525,0.46389174461364746,False,False
all_champions_exploratory,147,Seraphine,enchanter,3,32,Amumu,engage_tank,Tank,True,0.5404399633407593,0.4595600366592407,False,False
all_champions_exploratory,147,Seraphine,enchanter,4,75,Nasus,,Fighter,False,0.5416584014892578,0.4583415985107422,False,False
all_champions_exploratory,147,Seraphine,enchanter,5,267,Nami,enchanter,Support,True,0.5670620203018188,0.43293797969818115,True,False
all_champions_exploratory,161,Vel'Koz,mage_support,1,30,Karthus,,Mage,False,0.3691267967224121,0.6308732032775879,False,True
all_champions_exploratory,161,Vel'Koz,mage_support,2,267,Nami,enchanter,Support,True,0.4054141044616699,0.5945858955383301,False,False
all_champions_exploratory,161,Vel'Koz,mage_support,3,412,Thresh,hook,Support,True,0.47780030965805054,0.5221996903419495,False,False
all_champions_exploratory,161,Vel'Koz,mage_support,4,876,Lillia,,Fighter,False,0.5247036218643188,0.47529637813568115,False,False
all_champions_exploratory,161,Vel'Koz,mage_support,5,33,Rammus,,Tank,False,0.5645221471786499,0.4354778528213501,False,False
all_champions_exploratory,201,Braum,warden,1,429,Kalista,,Marksman,False,0.39361560344696045,0.6063843965530396,False,False
all_champions_exploratory,201,Braum,warden,2,875,Sett,,Fighter,False,0.430614173412323,0.569385826587677,False,False
all_champions_exploratory,201,Braum,warden,3,68,Rumble,,Fighter,False,0.49718940258026123,0.5028105974197388,False,False
all_champions_exploratory,201,Braum,warden,4,221,Zeri,,Marksman,False,0.5032410025596619,0.49675899744033813,False,False
all_champions_exploratory,201,Braum,warden,5,41,Gangplank,,Fighter,False,0.5165066123008728,0.4834933876991272,False,False
all_champions_exploratory,223,Tahm Kench,warden,1,895,Nilah,,Fighter,False,0.33789628744125366,0.6621037125587463,False,False
all_champions_exploratory,223,Tahm Kench,warden,2,266,Aatrox,,Fighter,False,0.38273197412490845,0.6172680258750916,False,False
