config_id,support_champion_name,count,mean,median,std
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Seraphine,184,0.15871780006608366,0.14195959899160693,0.12887627871787244
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Sett,1,0.11375126390293228,0.11375126390293228,
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Shaco,35,0.3112787996164311,0.2951429772918419,0.22547301499432118
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Shen,14,0.11399518134549742,0.09462001023541454,0.12253243427215786
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Singed,3,0.6153132503820127,0.5792730844793714,0.19419135222720016
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Sion,1,0.28425452856479333,0.28425452856479333,
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Skarner,1,0.6240656963021243,0.6240656963021243,
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Smolder,1,0.03678335870116692,0.03678335870116692,
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Sona,671,0.1708953939387822,0.13333333333333333,0.1504581417139971
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Soraka,301,0.172077015121493,0.13856258009397693,0.14534119235132922
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Swain,67,0.1601280204229043,0.12026854219948846,0.14878517088353554
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Sylas,60,0.2992039797060116,0.2890058834516249,0.1591564195826023
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Syndra,3,0.13247394993558417,0.13770383010997345,0.11750851750755756
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,TahmKench,62,0.1913957760993271,0.1732252075141983,0.15099979008276965
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Taliyah,18,0.1967789777398259,0.17494148456038233,0.1362873309610942
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Taric,265,0.16011258059947917,0.13333333333333333,0.13449364130154412
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Teemo,4,0.2024778886816361,0.23568096820296686,0.16452256438321766
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Thresh,780,0.21292875875344178,0.18639204909253893,0.1701905925441823
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Tristana,1,0.0,0.0,
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Trundle,34,0.18477039997457384,0.13333333333333333,0.1482266341008604
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,TwistedFate,8,0.3025096294935007,0.2229962322686342,0.241538462739991
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Twitch,4,0.599904834932793,0.6530957523398129,0.40056451025824985
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Varus,3,0.10269320882623019,0.12510212418300648,0.0638068285464102
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Vayne,1,0.33135688568856886,0.33135688568856886,
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Veigar,6,0.25445594865214427,0.22939788055056962,0.13797332824715577
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Velkoz,147,0.17011799713221104,0.14750479846449135,0.15344080668138427
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Xerath,30,0.152754585696247,0.12256675769989378,0.13918013556604475
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,XinZhao,1,0.16367370892018782,0.16367370892018782,
cfg_002_s4p0_m08_far2200_w0p35-0p4-0p25,Yorick,1,0.20271380316290497,0.20271380316290497,
