config_id,start_minute,max_minute,far_adc_threshold,w_outside,w_far,w_xp,rows,coverage,score_mean,score_std,score_p25,score_median,score_p75
cfg_049_s5p0_m10_far2500_w0p45-0p35-0p2,5.0,10.0,2500.0,0.45,0.35,0.2,16265,0.9988332105133874,0.2571093170082819,0.18357631735439386,0.11238765986864842,0.22915662650602409,0.37478253305497566
cfg_050_s5p0_m10_far2500_w0p35-0p4-0p25,5.0,10.0,2500.0,0.35,0.4,0.25,16265,0.9988332105133874,0.28010366963528993,0.19050702399655486,0.1307193732193732,0.25,0.40528166869671134
cfg_051_s5p0_m10_far2500_w0p3-0p45-0p25,5.0,10.0,2500.0,0.3,0.45,0.25,16265,0.9988332105133874,0.285901964025626,0.19429066631333564,0.13166569000878992,0.25609595070422536,0.4132763975155279
cfg_052_s5p0_m10_far2800_w0p45-0p35-0p2,5.0,10.0,2800.0,0.45,0.35,0.2,16265,0.9988332105133874,0.2519262039844065,0.18274087671488587,0.10662460567823341,0.2220957348880025,0.3689220183486238
cfg_053_s5p0_m10_far2800_w0p35-0p4-0p25,5.0,10.0,2800.0,0.35,0.4,0.25,16265,0.9988332105133874,0.274180111893718,0.18938776424139184,0.12477992957746478,0.24579777145566623,0.3985832537408468
cfg_054_s5p0_m10_far2800_w0p3-0p45-0p25,5.0,10.0,2800.0,0.3,0.45,0.25,16265,0.9988332105133874,0.2792379615663577,0.19293806465376728,0.12505332764505117,0.25,0.40400763358778624
cfg_055_s5p0_m11_far2200_w0p45-0p35-0p2,5.0,11.0,2200.0,0.45,0.35,0.2,16278,0.9996315401621223,0.2769542140828558,0.1770184376392954,0.13977943795797831,0.2556906362326775,0.39166666666666666
cfg_056_s5p0_m11_far2200_w0p35-0p4-0p25,5.0,11.0,2200.0,0.35,0.4,0.25,16278,0.9996315401621223,0.30233169664309906,0.1843165778727524,0.16000000000000003,0.28338444080703956,0.42525424074241186
cfg_057_s5p0_m11_far2200_w0p3-0p45-0p25,5.0,11.0,2200.0,0.3,0.45,0.25,16278,0.9996315401621223,0.3090358336905229,0.18801059453376914,0.16420195541603033,0.2907070268688657,0.43418996941104726
cfg_058_s5p0_m11_far2500_w0p45-0p35-0p2,5.0,11.0,2500.0,0.45,0.35,0.2,16278,0.9996315401621223,0.2704969814170901,0.17572566023612737,0.13333333333333333,0.24915671385944055,0.38395332497742346
cfg_059_s5p0_m11_far2500_w0p35-0p4-0p25,5.0,11.0,2500.0,0.35,0.4,0.25,16278,0.9996315401621223,0.2949520021679383,0.1826616724020778,0.15408385647814046,0.2742092528545369,0.4169440902258067
cfg_060_s5p0_m11_far2500_w0p3-0p45-0p25,5.0,11.0,2500.0,0.3,0.45,0.25,16278,0.9996315401621223,0.30073367740596707,0.1860515029392778,0.15664604390569345,0.2803985225513905,0.4236968919100863
