ally_utility_champion_name,ally_bottom_champion_name,n,mean_abs_error,median_abs_error,p90_abs_error,mean_signed_error,mean_prediction,mean_actual
Nautilus,Yone,2,0.06945018685877896,0.06945018685877896,0.11776355313733397,-0.060391707848193754,0.4552378850467623,0.515629592894956
Karma,Kayle,1,0.0691029764273362,0.0691029764273362,0.0691029764273362,-0.0691029764273362,0.3232625346119382,0.3923655110392744
Senna,Fizz,1,0.06898262491470109,0.06898262491470109,0.06898262491470109,0.06898262491470109,0.3360004528120239,0.2670178278973228
Brand,KogMaw,2,0.06875604546151903,0.06875604546151903,0.07824139867307633,0.011856691514446627,0.37987426300796434,0.3680175714935177
Teemo,Zoe,1,0.06857453869778196,0.06857453869778196,0.06857453869778196,-0.06857453869778196,0.45850980366222094,0.5270843423600029
Milio,Ziggs,3,0.06851849189123163,0.04493335792141884,0.10580164490516067,0.06851849189123163,0.338562277816245,0.2700437859250134
Nidalee,Jinx,6,0.06812431624005268,0.06544422511772516,0.11594620934361288,-0.02669736276229978,0.4465730342749643,0.4732703970372641
Taliyah,AurelionSol,1,0.06806557450552098,0.06806557450552098,0.06806557450552098,-0.06806557450552098,0.4579402654693361,0.5260058399748571
Ahri,Varus,2,0.06792340453091172,0.06792340453091172,0.10439009420010922,0.04558336208649688,0.4167391752799865,0.3711558131934896
JarvanIV,Veigar,1,0.06779496996568352,0.06779496996568352,0.06779496996568352,-0.06779496996568352,0.4632133694650508,0.5310083394307343
Veigar,Yunara,2,0.06729911791000505,0.06729911791000505,0.07215737685204586,-0.006072823677551006,0.34126148645780346,0.3473343101353545
Veigar,Sivir,3,0.06723279291419106,0.07829268902544284,0.10363837514337901,0.06723279291419106,0.35238976310677,0.2851569701925789
Amumu,Lucian,1,0.06716149745891326,0.06716149745891326,0.06716149745891326,-0.06716149745891326,0.3992588534179048,0.46642035087681805
Chogath,Hwei,1,0.06714057746112201,0.06714057746112201,0.06714057746112201,-0.06714057746112201,0.49812159715737603,0.565262174618498
Camille,Draven,2,0.06701350985787094,0.06701350985787094,0.11124446478499979,0.055288693658911064,0.47729144131001544,0.4220027476511044
Rell,Akshan,2,0.0670043514926019,0.0670043514926019,0.0930563517139757,0.03256500027671724,0.43816768549878926,0.405602685222072
Katarina,Heimerdinger,1,0.06688295114262682,0.06688295114262682,0.06688295114262682,0.06688295114262682,0.3551727882040721,0.2882898370614453
Seraphine,Nunu,1,0.06664243645906026,0.06664243645906026,0.06664243645906026,-0.06664243645906026,0.3019575087200257,0.36859994517908595
Nami,Neeko,1,0.06647942539086482,0.06647942539086482,0.06647942539086482,0.06647942539086482,0.4314330126172207,0.3649535872263559
Shaco,Zyra,1,0.06646642971782235,0.06646642971782235,0.06646642971782235,0.06646642971782235,0.5994814284848838,0.5330149987670615
Ivern,Senna,1,0.06631781963347472,0.06631781963347472,0.06631781963347472,-0.06631781963347472,0.3927279846886841,0.4590458043221588
Mel,Tristana,3,0.06561740379460572,0.06329811296516069,0.09231166050228762,-0.06561740379460572,0.3767713186753913,0.442388722469997
Zed,Cassiopeia,1,0.0655735485132492,0.0655735485132492,0.0655735485132492,-0.0655735485132492,0.3991844530316408,0.46475800154489
Lissandra,Varus,1,0.06552315947830656,0.06552315947830656,0.06552315947830656,0.06552315947830656,0.3974044456454878,0.33188128616718127
Velkoz,Kalista,2,0.06548620613555417,0.06548620613555417,0.08545308551819761,-0.06548620613555417,0.3094012939137552,0.3748875000493094
Ahri,Mel,1,0.06535950489438475,0.06535950489438475,0.06535950489438475,0.06535950489438475,0.49699050190489863,0.4316309970105139
