ally_bottom_champion_name,n,mean_abs_error,median_abs_error,p90_abs_error,mean_signed_error,mean_prediction,mean_actual
Ambessa,3,0.08107217772063101,0.08791940661691786,0.10092452525841768,0.08107217772063101,0.38624412587675566,0.30517194815612464
Poppy,1,0.08048710849645324,0.08048710849645324,0.08048710849645324,-0.08048710849645324,0.32859275573237234,0.4090798642288256
RekSai,2,0.0711381578903369,0.0711381578903369,0.08579001857249005,-0.018314825852691452,0.4042565716158695,0.42257139746856087
Nunu,1,0.06664243645906026,0.06664243645906026,0.06664243645906026,-0.06664243645906026,0.3019575087200257,0.36859994517908595
Nami,1,0.06523669308324054,0.06523669308324054,0.06523669308324054,-0.06523669308324054,0.39615240588788875,0.4613890989711293
Shaco,1,0.06469430155788353,0.06469430155788353,0.06469430155788353,0.06469430155788353,0.564470787977028,0.49977648641914446
Gangplank,2,0.05747565664630527,0.05747565664630527,0.07699148429308114,-0.05747565664630527,0.39973329190698453,0.4572089485532898
Azir,4,0.055297330856819066,0.03949244925747461,0.11905411015138578,-0.01832922775836801,0.36281383654879407,0.38114306430716205
Jayce,4,0.04891984359064011,0.031476654531542275,0.09611386808916961,0.029222184908327925,0.41381044818398177,0.3845882632756539
Malphite,1,0.04735430417855385,0.04735430417855385,0.04735430417855385,0.04735430417855385,0.34247061383159516,0.2951163096530413
Leona,1,0.04045291909768839,0.04045291909768839,0.04045291909768839,-0.04045291909768839,0.4630710390170903,0.5035239581147787
Warwick,1,0.03832168659443552,0.03832168659443552,0.03832168659443552,0.03832168659443552,0.4501818814409846,0.41186019484654907
Udyr,1,0.002413704663180416,0.002413704663180416,0.002413704663180416,0.002413704663180416,0.287733306206424,0.2853196015432436
