match_id,team_id,label_m06,label_m08,label_m10,label_m12,label_m14,label_path,n_observed_windows,n_label_changes,n_extreme_flips_ignore_ambiguous,is_fully_stable,has_any_change
EUW1_7697319840,100,ambiguous,ambiguous,map_presence,ambiguous,ambiguous,ambiguous | ambiguous | map_presence | ambiguous | ambiguous,5,2,0,False,True
EUW1_7697319840,200,map_presence,map_presence,map_presence,map_presence,map_presence,map_presence | map_presence | map_presence | map_presence | map_presence,5,0,0,True,False
EUW1_7697320945,100,farm_oriented,farm_oriented,farm_oriented,ambiguous,ambiguous,farm_oriented | farm_oriented | farm_oriented | ambiguous | ambiguous,5,1,0,False,True
EUW1_7697320945,200,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented,farm_oriented | farm_oriented | farm_oriented | farm_oriented | farm_oriented,5,0,0,True,False
EUW1_7697321369,100,farm_oriented,ambiguous,ambiguous,ambiguous,ambiguous,farm_oriented | ambiguous | ambiguous | ambiguous | ambiguous,5,1,0,False,True
EUW1_7697321369,200,map_presence,map_presence,map_presence,ambiguous,ambiguous,map_presence | map_presence | map_presence | ambiguous | ambiguous,5,1,0,False,True
EUW1_7697322475,100,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous | ambiguous | ambiguous | ambiguous | ambiguous,5,0,0,True,False
EUW1_7697322475,200,farm_oriented,farm_oriented,farm_oriented,ambiguous,ambiguous,farm_oriented | farm_oriented | farm_oriented | ambiguous | ambiguous,5,1,0,False,True
EUW1_7697323562,100,ambiguous,ambiguous,ambiguous,map_presence,map_presence,ambiguous | ambiguous | ambiguous | map_presence | map_presence,5,1,0,False,True
EUW1_7697323562,200,ambiguous,map_presence,map_presence,map_presence,map_presence,ambiguous | map_presence | map_presence | map_presence | map_presence,5,1,0,False,True
EUW1_7697324445,100,ambiguous,ambiguous,map_presence,map_presence,map_presence,ambiguous | ambiguous | map_presence | map_presence | map_presence,5,1,0,False,True
EUW1_7697324445,200,ambiguous,ambiguous,ambiguous,ambiguous,farm_oriented,ambiguous | ambiguous | ambiguous | ambiguous | farm_oriented,5,1,0,False,True
EUW1_7697324603,100,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous | ambiguous | ambiguous | ambiguous | ambiguous,5,0,0,True,False
EUW1_7697324603,200,ambiguous,farm_oriented,ambiguous,ambiguous,ambiguous,ambiguous | farm_oriented | ambiguous | ambiguous | ambiguous,5,2,0,False,True
EUW1_7697324773,100,ambiguous,farm_oriented,ambiguous,ambiguous,ambiguous,ambiguous | farm_oriented | ambiguous | ambiguous | ambiguous,5,2,0,False,True
EUW1_7697324773,200,farm_oriented,ambiguous,ambiguous,farm_oriented,ambiguous,farm_oriented | ambiguous | ambiguous | farm_oriented | ambiguous,5,3,0,False,True
